word,sentiment
!,0.7131951073901153309
#art,0.0
):,-0.15894964985658363788
);,0.0
-->,0.0
.,0.63261551312638742957
..,0.0
...,0.34828117523396109642
;D,-0.052611525126894595115
;P,0.55814322429971549675
?,0.25362326630928641548
___,0.0
a-barrel,-0.46040979773055418776
a-month,0.0
a-share,0.0
a-year,0.0
aa,0.0
aaa,0.0
aaron,0.0
aarp,0.0
ab,0.0
aba,-0.35413436892565057225
abandon,-1.1181148316405675481
abandoned,-1.4152150947657848698
abandoning,-1.0799067768016724834
abandonment,-2.0077434996728884013
abate,-0.66354135403830217274
abated,-0.86043295437642514225
abatement,0.0
abatements,0.0
abating,-0.55489651804372536794
abbot,0.0
abbott,0.0
abby,0.0
abc,0.0
abc's,0.0
abdullah,0.0
abe,0.0
abercrombie,0.0
aberration,-0.49945356239063935075
abide,0.0
abilities,1.7120271602521108394
ability,0.6112048917797910115
able,0.048214678484514115386
ablin,0.0
abn,0.0
abnormally,-1.6629030133811588619
aboard,0.07263540851801468901
abolish,-0.76615687757997402897
abolished,-0.74358406171183859853
abolishing,-0.17869515175463772875
abolition,-0.07057601365773170416
abortion,-0.64125176584917749546
abortions,-0.068924485619258715265
abound,0.32268641275214878525
about-face,-0.39065444050326822762
above-average,0.80537505721572446703
abraham,0.0
abrams,0.0
abroad,0.0069370827603343425858
abrupt,-1.5009582854439026963
abruptly,-1.4840971874778362812
absence,-0.9500408969390044686
absent,-0.04041925611375856729
absentee,-1.2547376618664695055
absolute,-0.15683635794213865657
absolutely,0.31114845716332583403
absorb,0.0
absorbed,0.0
absorbing,0.0
absorption,0.0
abstract,-0.28310120865443134483
abstractwashington,0.0
absurd,-1.6949838677235496909
abu,0.0
abundance,1.6606139689757409379
abundant,1.7437668899574549545
abuse,-2.9214050268710862522
abused,-2.2586390797801318684
abuses,-2.206268723084488455
abusive,-2.3338318604772178627
abysmal,-0.2303141360645546726
abyss,-1.2004039515872881994
academia,0.0
academic,0.0
academics,0.0
academy,0.0
accelerate,0.0
accelerated,-0.027658055625737888081
accelerates,-0.6766012386929741842
accelerating,0.0
acceleration,0.0
accelerator,0.0
accent,0.2270492008178344316
accenture,0.15729616205748539519
accept,0.441916031159451231
acceptable,0.2903374306708241423
acceptance,1.5527508925760402624
accepted,0.99385936944823198336
accepting,0.36348696229655046294
accepts,0.858728701587404312
access,0.059250560456564237858
accessibility,0.67167418742784390083
accessible,1.0690379854052713759
accessories,0.0
accident,-2.2205484164541700429
accidental,-1.8805740430189101769
accidents,-2.2177397786230634712
accommodate,0.0
accommodating,0.0
accommodation,0.0
accommodations,0.21420429432936491138
accommodative,0.0
accompanied,0.0
accompanies,0.7505151169471715641
accompany,-0.5185730962228334027
accompanying,0.0
accomplish,1.7401591501662464093
accomplished,2.1058178169609566548
accomplishing,0.9471729690759818168
accomplishment,2.1887768416195646406
accomplishments,1.72129403410539636
accord,0.0
accordance,0.0
according,0.0
accordingly,0.0
accords,0.0
account,0.0
accountability,0.0
accountable,0.0
accountant,0.0
accountants,0.0
accounted,0.0
accounting,-0.1574115664710843401
accounts,0.0
accreditation,-1.2113886568162178378
accredited,0.0
accrue,0.95994955565496349517
accrued,0.0
accumulate,0.0
accumulated,0.0
accumulating,-0.36101670854859235494
accumulation,0.07998495020955866558
accuracy,0.0
accurate,0.370384058383404162
accurately,0.0
accusation,-2.4981274960389902894
accusations,-2.3227849860644984939
accuse,-2.0037743654653838079
accused,-1.8347237843947109339
accuses,-2.8784922111001273474
accusing,-1.5828148600447214527
accustomed,0.0
ace,0.0
achievable,1.639204700552061479
achieve,1.0594628682654575049
achieved,1.0978406439434916894
achievement,2.069551475036962509
achievements,1.9945327757565198202
achieving,1.2726361134957845988
achilles,0.29794502245087199792
acid,0.0
ackerman,-0.11709602929262456117
acknowledge,-0.31886201511619055918
acknowledged,0.0
acknowledges,-0.26775630418011434606
acknowledging,0.0
acknowledgment,0.0
acorn,0.0
acquire,0.0
acquired,0.0
acquires,0.25793968783717283657
acquiring,0.0
acquisition,0.0
acquisitions,0.0
acre,0.0
acreage,0.0
acres,0.0
acronym,0.0
across,0.0
across-the-board,-0.21102467537502501827
act,0.0
acted,0.0
acting,0.0
action,0.0
actions,-0.08008244191031336962
active,0.9909381909975758718
actively,0.19616232814092967599
activism,0.0
activist,0.023302341679057591767
activists,-0.35276356679187190747
activities,0.0
activity,0.0
actor,-0.18887571168675530368
actors,-0.24139374597020171132
actress,0.0
acts,-1.1777298530480278223
actual,0.0
actually,0.0
actuaries,0.0
acuff,0.0
acute,-1.1900658873473966076
acutely,0.0
ad,0.0
adage,-0.21240620909694942122
adam,0.0
adamant,-0.65423896137598865297
adamantly,-2.006549469680280681
adams,0.0
adapt,0.0
adapted,0.0
adapting,0.0
add,0.0
add-on,0.0
added,0.0
addicted,-0.80592354870805345566
addiction,-1.6343950403468104084
addicts,-1.8001041348946438996
adding,0.0
addison,-0.04799257927060004648
addition,0.0
additional,0.0
additionally,0.0
additions,0.0
address,0.0
addressed,-0.044802824777016310232
addresses,0.0
addressing,-0.33758666821819541135
adds,-0.49330859456335158706
adelphia,-0.6072140227311257865
adept,0.0
adequate,0.5399405556477337925
adequately,-0.39522478379377957742
adhere,0.0
adherence,0.0
adibi,0.0
adjacent,0.0
adjoining,0.0
adjourned,0.0
adjunct,0.0
adjust,0.0
adjustable,0.33634439350647087226
adjustable-rate,0.0
adjustables,0.33621924489232843042
adjusted,0.0
adjusting,0.0
adjustment,0.0
adjustments,0.0
adjusts,0.0
adler,0.0
adm,-0.5064577298342101945
administer,0.0
administered,0.0
administering,0.0
administers,0.0
administration,0.0
administration's,0.0
administrations,0.0
administrative,0.0
administrator,0.0
administrators,0.0
admirable,2.5070769463878055606
admiration,2.107695656475393169
admire,2.5736828654087296549
admired,1.784108042427638847
admission,2.2767074474893263755
admissions,0.0
admit,-0.16577561492698350104
admits,-0.31237908911885889438
admitted,-0.84407728286835179935
admittedly,0.121906457524797426405
admitting,-0.7719114184972990442
adobe,0.0
adopt,0.0
adopted,0.0
adopting,0.0
adoption,0.0
adopts,-0.11698545075755149798
adp,0.0
adrian,0.027762109865583118047
ads,0.0
adult,0.0
adults,0.0
advance,0.0
advanced,1.1061029745008053144
advancement,1.2519270254264102076
